image_paths,cluster,dist
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__30800_3800.tif,12,117
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__23400_2400.tif,15,98
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__9000_400.tif,13,146
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__42000_40600.tif,33,196
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__32800_1400.tif,12,93
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__9400_1600.tif,13,83
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__17000_7600.tif,28,264
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__40200_27800.tif,7,78
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__41200_3400.tif,28,205
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__41200_55000.tif,34,184
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__37200_6200.tif,12,80
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__20000_60400.tif,3,60
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__7800_19800.tif,39,183
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__6200_4800.tif,40,199
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__19200_40400.tif,25,169
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__4400_40200.tif,2,62
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__32200_44600.tif,49,148
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__7800_46600.tif,9,115
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__0_13600.tif,39,160
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__17600_21400.tif,23,145
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__34400_33800.tif,40,185
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__36800_47400.tif,34,231
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__28200_29400.tif,40,176
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__10000_24200.tif,37,167
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__27600_65200.tif,8,94
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__12200_3200.tif,23,159
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__6400_8400.tif,23,110
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__3200_45400.tif,0,58
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__26600_48400.tif,14,177
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__35400_41000.tif,47,178
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__24200_57400.tif,5,74
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__10800_10000.tif,31,168
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__38400_12600.tif,7,66
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__32000_2600.tif,18,125
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__13400_16400.tif,40,135
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__11800_62800.tif,1,91
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__9400_13400.tif,40,180
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__14200_13200.tif,39,172
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__20800_54600.tif,2,51
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__23400_52200.tif,45,163
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__34200_14800.tif,12,115
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__1800_49600.tif,3,55
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__29400_23200.tif,37,163
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__27000_42200.tif,40,181
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__1800_16800.tif,23,157
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__3400_62400.tif,5,105
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__20600_47400.tif,27,178
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__32400_63600.tif,8,84
