image_paths,cluster,dist
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__22400_24400.tif,79,129
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__32600_2800.tif,34,87
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__14200_48200.tif,12,75
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__6000_2400.tif,38,101
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__21800_22000.tif,86,117
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__6000_53000.tif,90,140
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__9400_40800.tif,36,83
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__26000_34400.tif,70,148
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__1800_45400.tif,4,56
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__3400_31800.tif,16,80
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__27000_19200.tif,57,98
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__38200_3200.tif,18,87
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__34200_10600.tif,27,91
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__10600_58200.tif,53,113
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__2400_43000.tif,47,105
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__28400_55400.tif,25,79
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__30800_13400.tif,67,111
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__5200_46600.tif,50,88
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__21600_31200.tif,71,133
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__18400_11200.tif,2,60
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__32400_38600.tif,9,77
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__33400_15000.tif,39,81
