y_score,y_test
5.995661425978523e-20,0
2.280481805692817e-16,0
2.1903472286944335e-16,0
7.706625797289531e-16,0
7.377006753662274e-20,0
8.276472123684157e-17,0
9.505837482563965e-18,0
9.858180904472376e-18,0
1.425856492417584e-17,0
2.429334459454744e-16,0
2.432695908576569e-17,0
6.457420937080271e-14,0
1.023903210517732e-18,0
1.2374533335856393e-19,0
9.072364142811684e-16,0
9.301163271226862e-14,0
2.0749128034344037e-16,0
8.998797342643433e-17,0
2.4630164247688777e-15,0
1.9972242885023505e-21,0
1.143399772296178e-16,0
2.2953253440925393e-18,0
1.1158187233927565e-17,0
3.7724273757146834e-17,0
1.7565152002856508e-18,0
1.9371345636665413e-19,0
6.252848804429754e-17,0
1.8579315379645694e-17,0
2.4958673645781384e-06,0
6.622409690932359e-16,0
8.723310816115859e-16,0
7.894669677398693e-19,0
6.392458134664155e-20,0
1.2697133067847197e-18,0
6.699095147093064e-18,0
1.9291695346866487e-19,0
6.831517192020963e-17,0
1.7448772035439548e-16,0
6.601541936920502e-18,0
1.3855303014624753e-20,0
1.5246957414747242e-16,0
5.76142251476014e-19,0
1.588216588384895e-17,0
1.1789926225055451e-20,0
1.406596979517945e-12,0
9.120531376845419e-14,0
3.704088159546978e-18,0
3.55198000934635e-19,0
7.61494412584966e-15,0
3.600633423231989e-17,0
9.42911050213544e-19,0
9.520754911659075e-15,0
3.599409953920829e-20,0
2.7440319370246783e-16,0
2.2513945369249214e-21,0
4.730641722386683e-18,0
6.979043596865382e-18,0
6.2985701655897e-21,0
4.1048497254895434e-14,0
3.691728317860831e-18,0
4.86000657510643e-17,0
2.180735791806955e-20,0
4.330191734700912e-18,0
7.267182701547043e-21,0
7.000132199376533e-15,0
3.4895239443608975e-17,0
1.4113946554713549e-19,0
1.751088375334014e-17,0
3.0984011121191407e-17,0
7.166762857359894e-13,0
1.415603678731288e-23,0
2.1844394686491035e-15,0
9.665955866284174e-20,0
2.045937877037599e-19,0
5.231610405077509e-18,0
1.1737600778572917e-16,0
6.473823650690553e-16,0
3.4186872507190785e-14,0
4.0404519701024345e-16,0
2.989399000057212e-18,0
3.8129609847845155e-19,0
